,Country/Region,Pop
1,Afghanistan,34656032
2,Angola,28813463
3,Albania,2876101
4,Andorra,77281
6,United Arab Emirates,9269612
7,Argentina,43847430
8,Armenia,2924816
10,Antigua and Barbuda,100963
11,Australia,24127159
12,Austria,8747358
13,Azerbaijan,9762274
14,Burundi,10524117
15,Belgium,11348159
16,Benin,10872298
17,Burkina Faso,18646433
18,Bangladesh,162951560
19,Bulgaria,7127822
20,Bahrain,1425171
21,Bahamas,391232
22,Bosnia and Herzegovina,3516816
23,Belarus,9507120
24,Belize,366954
26,Bolivia,10887882
27,Brazil,207652865
28,Barbados,284996
29,Brunei,423196
30,Bhutan,797765
31,Botswana,2250260
32,Central African Republic,4594621
33,Canada,36286425
35,Switzerland,8372098
37,Chile,17909754
38,China,1378665000
39,Cote d'Ivoire,23695919
40,Cameroon,23439189
41,"Congo, The Democratic Republic of the",78736153
42,Republic of the Congo,5125821
43,Colombia,48653419
44,Comoros,795601
45,Cabo Verde,539560
46,Costa Rica,4857274
48,Cuba,11475982
51,Cyprus,1170125
52,Czechia,10561633
53,Germany,82667685
54,Djibouti,942333
55,Dominica,73543
56,Denmark,5731118
57,Dominican Republic,10648791
58,Algeria,40606052
64,Ecuador,16385068
65,Egypt,95688681
67,Eritrea,4474690
68,Spain,46443959
69,Estonia,1316481
70,Ethiopia,102403196
73,Finland,5495096
74,Fiji,898760
75,France,66896109
78,Gabon,1979786
79,United Kingdom,65637239
80,Georgia,3719300
81,Ghana,28206728
83,Guinea,12395924
84,Gambia,2038501
85,Guinea-Bissau,1815698
86,Equatorial Guinea,1221490
87,Greece,10746740
88,Grenada,107317
90,Guatemala,16582469
92,Guyana,773303
95,Honduras,9112867
97,Croatia,4170600
98,Haiti,10847334
99,Hungary,9817958
104,Indonesia,261115456
107,India,1324171354
108,Ireland,4773095
109,Iran,80277428
110,Iraq,37202572
111,Iceland,334252
112,Israel,8547100
113,Italy,60600590
114,Jamaica,2881355
115,Jordan,9455802
116,Japan,126994511
117,Kazakhstan,17797032
118,Kenya,48461567
119,Kyrgyzstan,6082700
120,Cambodia,15762370
122,Saint Kitts and Nevis,54821
124,Kuwait,4052584
126,Lao,6758353
127,Lebanon,6006668
128,Liberia,4613823
129,Libya,6293253
130,Saint Lucia,178015
134,Liechtenstein,37666
135,Sri Lanka,21203000
140,Lithuania,2872298
141,Luxembourg,582972
142,Latvia,1960424
145,Morocco,35276786
146,Monaco,38499
147,Moldova,3552000
148,Madagascar,24894551
149,Maldives,417492
151,Mexico,127540423
154,North Macedonia,2081206
155,Mali,17994837
156,Malta,436947
157,Myanmar,52885223
159,Montenegro,622781
160,Mongolia,3027398
162,Mozambique,28829476
163,Mauritania,4301018
164,Mauritius,1263473
165,Malawi,18091575
166,Malaysia,31187265
168,Namibia,2479713
171,Niger,185989640
172,Nigeria,185989640
173,Nicaragua,6149928
174,Netherlands,17018408
175,Norway,5232929
176,Nepal,28982771
178,New Zealand,4692700
180,Oman,4424762
182,Pakistan,193203476
183,Panama,4034119
184,Peru,31773839
185,Philippines,103320222
187,Papua New Guinea,8084991
188,Poland,37948016
191,Republic of Korea,25368620
192,Portugal,10324611
193,Paraguay,6725308
194,"Palestine, State of",4551566
198,Qatar,2569804
199,Romania,19705301
200,Russia,144342396
201,Rwanda,11917508
203,Saudi Arabia,32275687
204,Sudan,39578828
205,Senegal,15411614
206,Singapore,5607283
208,Sierra Leone,7396190
209,El Salvador,6344722
210,San Marino,33203
211,Somalia,14317996
212,Kosovo,7057412
213,Serbia,7057412
215,South Sudan,12230730
218,Sao Tome and Principe,199910
219,Suriname,558368
220,Slovakia,5428704
221,Slovenia,2064845
222,Sweden,9903122
223,Eswatini,1343098
225,Seychelles,94677
226,Syria,18430453
228,Chad,14452543
231,Togo,7606374
232,Thailand,68863514
233,Tajikistan,8734951
236,Timor-Leste,1268671
241,Trinidad and Tobago,1364962
242,Tunisia,11403248
243,Turkey,79512426
245,Tanzania,55572201
246,Uganda,41487965
247,Ukraine,45004645
249,Uruguay,3444006
250,US,323127513
251,Uzbekistan,31848200
252,Saint Vincent and the Grenadines,109643
253,Venezuela,31568179
256,Vietnam,92701100
261,Yemen,27584213
262,South Africa,55908865
263,Zambia,16591390
264,Zimbabwe,16150362
